stat,mesto
Afghánistán,Kábul
Albánie,Tirana
Alžírsko,Alžír
Andorra,Andorra la Vella
Angola,Luanda
Antigua a Barbuda,Saint John's
Argentina,Buenos Aires
Arménie,Jerevan
Austrálie,Canberra
Ázerbájdžán,Baku
Bahamy,Nassau
Bahrajn,Manáma
Bangladéš,Dháka
Barbados,Bridgetown
Belgie,Brusel
Belize,Belmopan
Bělorusko,Minsk
Benin,Porto Novo
Bhútán,Thimbú
Bolívie,Sucre
Bosna a Hercegovina,Sarajevo
Botswana,Gaborone
Brazílie,Brasília
Brunej,Bandar Seri Begawan
Bulharsko,Sofia
Burkina Faso,Ouagadougou
Burundi,Gitega
Čad,N'Djamena
Černá Hora,Podgorica
Česko,Praha
Čína,Peking
Dánsko,Kodaň
Konžská demokratická republika,Kinshasa
Dominika,Roseau
Dominikánská republika,Santo Domingo
Džibutsko,Džibuti
Egypt,Káhira
Ekvádor,Quito
Eritrea,Asmara
Estonsko,Tallinn
Etiopie,Addis Abeba
Fidži,Suva
Filipíny,Manila
Finsko,Helsinki
Francie,Paříž
Gabon,Libreville
Gambie,Banjul
Ghana,Akkra
Grenada,Saint George's
Gruzie,Tbilisi
Guatemala,Ciudad de Guatemala
Guinea,Konakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Chile,Santiago de Chile
Chorvatsko,Záhřeb
Indie,Nové Dillí
Indonésie,Jakarta
Irák,Bagdád
Írán,Teherán
Irsko,Dublin
Island,Reykjavík
Itálie,Řím
Izrael,Jeruzalém
Jamajka,Kingston
Japonsko,Tokio
Jemen,Saná
Jižní Afrika,"Bloemfontein, Pretorie, Kapské Město"
Jižní Korea,Soul
Jižní Súdán,Džuba
Jordánsko,Ammán
Kambodža,Phnompenh
Kamerun,Yaoundé
Kanada,Ottawa
Kapverdy,Praia
Katar,Dauhá
Kazachstán,Astana
Keňa,Nairobi
Kiribati,Jižní Tarawa
Kolumbie,Bogotá
Komory,Moroni
Kosovo,Priština
Kostarika,San José
Kuba,Havana
Kuvajt,Kuvajt
Kypr,Nikósie
Kyrgyzstán,Biškek
Laos,Vientiane
Lesotho,Maseru
Libanon,Bejrút
Libérie,Monrovia
Libye,Tripolis
Lichtenštejnsko,Vaduz
Litva,Vilnius
Lotyšsko,Riga
Lucembursko,Lucemburk
Madagaskar,Antananarivo
Maďarsko,Budapešť
Malajsie,Kuala Lumpur
Malawi,Lilongwe
Maledivy,Male
Mali,Bamako
Malta,Valletta
Maroko,Rabat
Marshallovy ostrovy,Majuro
Mauricius,Port Louis
Mauritánie,Nuakšott
Mexiko,Ciudad de México
Mikronésie,Palikir
Moldavsko,Kišiněv
Monako,Monaco-Ville
Mongolsko,Ulánbátar
Mosambik,Maputo
Myanmar,Neipyijto
Namibie,Windhoek
Nauru,úředně žádné (de facto Yaren)
Německo,Berlín
Nepál,Káthmándú
Niger,Niamey
Nigérie,Abuja
Nikaragua,Managua
Nizozemsko,Amsterdam
Norsko,Oslo
Nový Zéland,Wellington
Omán,Maskat
Pákistán,Islámábád
Palau,Ngerulmud
Palestina,Rámaláh
Panama,Ciudad de Panamá
Papua Nová Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Pobřeží slonoviny,Yamoussoukro
Polsko,Varšava
Portugalsko,Lisabon
Rakousko,Vídeň
Konžská republika,Brazzaville
Rovníková Guinea,Malabo
Rumunsko,Bukurešť
Rusko,Moskva
Rwanda,Kigali
Řecko,Atény
Salvador,San Salvador
Samoa,Apia
San Marino,San Marino
Saúdská Arábie,Rijád
Senegal,Dakar
Severní Korea,Pchjongjang
Severní Makedonie,Skopje
Seychely,Victoria
Sierra Leone,Freetown
Singapur,Singapur
Slovensko,Bratislava
Slovinsko,Lublaň
Somálsko,Mogadišo
Spojené arabské emiráty,Abú Zabí
Spojené království,Londýn
Spojené státy americké,"Washington, D.C."
Srbsko,Bělehrad
Středoafrická republika,Bangui
Súdán,Chartúm
Surinam,Paramaribo
Svatá Lucie,Castries
Svatý Kryštof a Nevis,Basseterre
Svatý Tomáš a Princův ostrov,São Tomé
Svatý Vincenc a Grenadiny,Kingstown
Svazijsko,Mbabane
Sýrie,Damašek
Šalomounovy ostrovy,Honiara
Španělsko,Madrid
Srí Lanka,Šrí Džajavardanapura Kotte
Švédsko,Stockholm
Švýcarsko,úředně žádné (de facto Bern)
Tádžikistán,Dušanbe
Tanzanie,Dodoma
Thajsko,Bangkok
Tchaj-wan,Tchaj-pej
Togo,Lomé
Tonga,Nuku'alofa
Trinidad a Tobago,Port of Spain
Tunisko,Tunis
Turecko,Ankara
Turkmenistán,Ašchabad
Tuvalu,Funafuti
Uganda,Kampala
Ukrajina,Kyjev
Uruguay,Montevideo
Uzbekistán,Taškent
Vanuatu,Port Vila
Vatikán,Vatikán
Venezuela,Caracas
Vietnam,Hanoj
Východní Timor,Dili
Zambie,Lusaka
Zimbabwe,Harare
