turnaj
United Cup - Austrálie
Brisbane - Austrálie
Hong Kong - Čína
Adelaide - Austrálie
Auckland - Nový Zéland
Australian Open - Austrálie
Montpellier - Francie
Córdoba - Argentina
Dallas - Spojené státy americké
Marseille - Francie
Delray Beach - Spojené státy americké
Rotterdam - Nizozemsko
Buenos Aires - Argentina
Dauhá - Katar
Rio de Janeiro - Brazílie
Los Cabos - Mexiko
Acapulco - Mexiko
Dubaj - Spojené arabské emiráty
Santiago - Chile
Indian Wells - Spojené státy americké
Miami - Spojené státy americké
Houston - Spojené státy americké
Marrakéš - Maroko
Estoril - Portugalsko
Monte Carlo - Monako
Barcelona - Španělsko
Bukurešť - Rumunsko
Mnichov - Německo
Madrid - Španělsko
Řím - Itálie
Ženeva - Švýcarsko
Lyon - Francie
French Open - Francie
Roland Garros - Francie
Hertogenbosch - Nizozemsko
Stuttgart - Německo
Halle - Německo
Londýn - Spojené království
Mallorca - Španělsko
Eastbourne - Spojené království
Wimbledon - Spojené království
Newport - Spojené státy americké
Bastad - Švédsko
Gstaad - Švýcarsko
Hamburg - Německo
Umag - Chorvatsko
Atlanta - Spojené státy americké
Kitzbühel - Rakousko
Paříž - Francie
Washington - Spojené státy americké
Montreal - Kanada
Cincinnati - Spojené státy americké
Winston-Salem - Spojené státy americké
US Open - Spojené státy americké
Chengdu - Čína
Hangzhou - Čína
Laver Cup - Německo
Peking - Čína
Tokio - Japonsko
Šanghaj - Čína
Antverpy - Belgie
Stockholm - Švédsko
Almaty - Kazachstán
Basilej - Švýcarsko
Vídeň - Rakousko
Bělehrad - Srbsko
Méty - Francie
Hobart - Austrálie
Hua Hin - Thajsko
Linec - Rakousko
Kluž - Rumunsko
Abú Dhabí - Spojené arabské emiráty
San Diego - Spojené státy americké
Austin - Spojené státy americké
Charleston - Spojené státy americké
Bogota - Kolumbie
Rouen - Francie
Štrasburk - Francie
Rabat - Maroko
Nottingham - Spojené království
Birmingham - Spojené království
Berlín - Německo
Bad Homburg - Německo
Budapešť - Maďarsko
Palermo - Itálie
Iasi - Rumunsko
Praha - Česko
Toronto - Kanada
Cleveland - Spojené státy americké
Monterrey - Mexiko
Monastir - Tunisko
Guadalajara - Mexiko
Soul - Jižní Korea
Wuhan - Čína
Ningbo - Čína
Osaka - Japonsko
Guangzhou - Čína
Jiujiang - Čína
Mérida - Mexiko
